id_empresa,riesgo_sector,anos_operando,ratio_mora,ratio_utilizacion,crecimiento_ventas,margen_beneficio,score_buro,default_12m,pd_verdadera
1,0.7739560485559633,16,0.3486840145296819,0.0941773478876495,-0.1453269260293477,0.0927840403167285,676.8556219088224,0,0.1253655431012336
1,0.7739560485559633,16,0.2251929689477835,0.3707980242325812,0.1666687903143422,0.0866030697561216,691.2904599019386,0,0.0684875115182127
1,0.7739560485559633,16,0.1136193608923884,0.5545847870158348,-0.0938323901243498,0.1678450301307272,679.5187887223957,0,0.0685509293200565
1,0.7739560485559633,16,0.1772629840649341,0.9706980243949032,0.0268205776896796,0.0371672177836892,676.496712327376,0,0.1177361247033549
1,0.7739560485559633,16,0.0219018828936143,0.1542894920675478,0.1146231504511824,0.2941647600870461,675.9538976684121,0,0.0353361159990642
2,0.3704597060348689,11,0.0947356795421428,0.1299215053354716,-0.0760234715443792,-0.0024481215691239,681.1451047812668,0,0.0348533441377071
2,0.3704597060348689,11,0.4163390980289187,0.7002651020022491,0.1314731402457792,0.0134490292711305,676.960790133687,0,0.1076419838309186
2,0.3704597060348689,11,0.144164051965122,0.6824955039749755,0.0835393323162023,0.1478913563071895,675.3149675979087,0,0.0437199314868918
2,0.3704597060348689,11,0.332425428296016,0.7051653786263351,0.0020493175464048,0.0329627345707204,668.2503984205864,0,0.103892996216051
2,0.3704597060348689,11,0.0572650367679867,0.6684029617904717,0.1952417531887221,-0.0882869771615804,671.290326603162,0,0.0486106410999728
3,0.5535794006579958,3,0.0154089172839697,0.4367173892323623,0.1786963821885731,0.0608695675118385,668.9770261746178,0,0.0584999325732533
3,0.5535794006579958,3,0.029151370844533,0.2813838920219965,0.0713638604105847,0.1490485354067768,677.4613629446317,0,0.0446519761331579
3,0.5535794006579958,3,0.3321567701636937,0.4063868614400705,0.1185162856336117,0.0138074058933348,678.1033509423463,0,0.1272812951165087
3,0.5535794006579958,3,0.3611796752982251,0.4618772302513874,-0.0204103510304085,0.0812494118727687,686.5413559970561,0,0.1180674383306998
3,0.5535794006579958,3,0.2230781377870153,0.3810212260964825,-0.013494746806623,0.0720281789093601,664.8605450684167,0,0.1169534454802698
4,0.1180059021205153,14,0.4542903453538035,0.6997071338107496,-0.0067243831059084,0.2099228297786065,606.5474871853265,0,0.1956455558107057
4,0.1180059021205153,14,0.2246807510718943,0.272241561845159,-0.0925033082365871,0.0460966924099437,618.5132082705147,0,0.0938946039745561
4,0.1180059021205153,14,0.1529783120753262,0.579219568941896,-0.0391224933545191,-0.0646057854388454,610.8314219730795,0,0.1155153242281824
4,0.1180059021205153,14,0.2160465198875518,0.6273088407024432,0.2902668336981373,0.0560644372526975,599.8751519697221,0,0.1246703692755274
4,0.1180059021205153,14,0.0208070869309462,0.4939908192445189,0.1752666868871867,0.1156871059149509,624.7431558081364,0,0.0418625888001872
5,0.1705929685368861,8,0.1734349022674185,0.5909154914814168,0.016666595435184,-0.0670806294502657,624.2518170616938,0,0.1217672402424515
